player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
DAJ Bracewell,1,12.0,12.0,133.33333333333334,12.0,3.0,7.68,3.0,0,Finishers / All-Rounders
DB Das,3,304.0,25.333333333333332,113.85767790262172,13.818181818181818,0.0,0.0,0.0,2,Finishers / All-Rounders
DB Ravi Teja,5,375.0,18.75,115.38461538461539,15.0,1.0,9.333333333333334,0.5,2,Finishers / All-Rounders
DE Bollinger,3,21.0,21.0,91.30434782608695,5.25,43.0,7.16,1.5925925925925926,3,Finishers / All-Rounders
DG Nalkande,3,12.0,6.0,100.0,6.0,6.0,10.112359550561797,1.0,0,Finishers / All-Rounders
DH Yagnik,4,170.0,18.88888888888889,119.71830985915493,10.0,0.0,0.0,0.0,2,Finishers / All-Rounders
DJ Bravo,13,1560.0,22.608695652173914,125.10024057738572,14.181818181818182,207.0,8.075242718446601,1.3101265822784811,3,Finishers / All-Rounders
DJ Harris,1,111.0,37.0,107.76699029126213,27.75,0.0,8.666666666666666,0.0,2,Finishers / All-Rounders
DJ Hooda,9,1466.0,19.038961038961038,125.2991452991453,15.270833333333334,10.0,8.359375,0.30303030303030304,1,Power Hitters
DJ Hussey,7,1322.0,26.979591836734695,120.07266121707539,21.672131147540984,10.0,9.009287925696594,0.38461538461538464,1,Power Hitters
DJ Jacobs,2,92.0,13.142857142857142,91.08910891089108,13.142857142857142,0.0,0.0,0.0,2,Finishers / All-Rounders
DJ Malan,1,26.0,26.0,100.0,26.0,0.0,0.0,0.0,2,Finishers / All-Rounders
DJ Mitchell,2,351.0,27.0,128.1021897810219,23.4,1.0,11.411764705882353,0.25,2,Finishers / All-Rounders
DJ Muthuswami,1,1.0,1.0,33.333333333333336,1.0,4.0,7.714285714285714,0.6666666666666666,0,Finishers / All-Rounders
DJ Thornely,1,39.0,13.0,72.22222222222223,9.75,3.0,5.454545454545455,0.75,0,Finishers / All-Rounders
DJ Willey,3,53.0,17.666666666666668,82.8125,10.6,7.0,7.520361990950226,0.6363636363636364,2,Finishers / All-Rounders
DJG Sammy,3,295.0,19.666666666666668,117.52988047808765,14.75,14.0,8.704918032786885,0.7368421052631579,2,Finishers / All-Rounders
